gen_costs_scenario_id,technology,year,overnight_cost_$2007,fixed_o_m_$2007,var_o_m_$2007
2,CCGT,2010,1143900,5868.3,3.4131
2,CCGT,2015,1143900,5868.3,3.4131
2,CCGT,2020,1143900,5868.3,3.4131
2,CCGT,2025,1143900,5868.3,3.4131
2,CCGT,2030,1143900,5868.3,3.4131
2,CCGT,2035,1143900,5868.3,3.4131
2,CCGT,2040,1143900,5868.3,3.4131
2,CCGT,2045,1143900,5868.3,3.4131
2,CCGT,2050,1143900,5868.3,3.4131
2,CCGT_Cogen,2010,857925,4401.225,3.4131
2,CCGT_Cogen,2015,857925,4401.225,3.4131
2,CCGT_Cogen,2020,857925,4401.225,3.4131
2,CCGT_Cogen,2025,857925,4401.225,3.4131
2,CCGT_Cogen,2030,857925,4401.225,3.4131
2,CCGT_Cogen,2035,857925,4401.225,3.4131
2,CCGT_Cogen,2040,857925,4401.225,3.4131
2,CCGT_Cogen,2045,857925,4401.225,3.4131
2,CCGT_Cogen,2050,857925,4401.225,3.4131
2,CCGT_EP,0,1162500,5868.3,3.4131
2,CCGT_Cogen_EP,0,871875,4401.225,3.4131
2,CCGT_CCS,2020,3487500,17112,9.3
2,CCGT_CCS,2025,3487500,17112,9.3
2,CCGT_CCS,2030,3487500,17112,9.3
2,CCGT_CCS,2035,3487500,17112,9.3
2,CCGT_CCS,2040,3487500,17112,9.3
2,CCGT_CCS,2045,3487500,17112,9.3
2,CCGT_CCS,2050,3487500,17112,9.3
2,CCGT_Cogen_CCS,2020,2615625,12834,9.3
2,CCGT_Cogen_CCS,2025,2615625,12834,9.3
2,CCGT_Cogen_CCS,2030,2615625,12834,9.3
2,CCGT_Cogen_CCS,2035,2615625,12834,9.3
2,CCGT_Cogen_CCS,2040,2615625,12834,9.3
2,CCGT_Cogen_CCS,2045,2615625,12834,9.3
2,CCGT_Cogen_CCS,2050,2615625,12834,9.3
2,Gas_Combustion_Turbine,2010,605430,4891.8,27.807
2,Gas_Combustion_Turbine,2015,605430,4891.8,27.807
2,Gas_Combustion_Turbine,2020,605430,4891.8,27.807
2,Gas_Combustion_Turbine,2025,605430,4891.8,27.807
